image_id,class_id,class_name,group_id,source_id,outer_fold
fmd_000000,0,fabric,,,4
fmd_000001,0,fabric,,,0
fmd_000002,0,fabric,,,0
fmd_000003,0,fabric,,,0
fmd_000004,0,fabric,,,4
fmd_000005,0,fabric,,,0
fmd_000006,0,fabric,,,0
fmd_000007,0,fabric,,,4
fmd_000008,0,fabric,,,3
fmd_000009,0,fabric,,,1
fmd_000010,0,fabric,,,4
fmd_000011,0,fabric,,,4
fmd_000012,0,fabric,,,2
fmd_000013,0,fabric,,,2
fmd_000014,0,fabric,,,2
fmd_000015,0,fabric,,,4
fmd_000016,0,fabric,,,3
fmd_000017,0,fabric,,,0
fmd_000018,0,fabric,,,2
fmd_000019,0,fabric,,,1
fmd_000020,0,fabric,,,4
fmd_000021,0,fabric,,,2
fmd_000022,0,fabric,,,0
fmd_000023,0,fabric,,,3
fmd_000024,0,fabric,,,3
fmd_000025,0,fabric,,,1
fmd_000026,0,fabric,,,2
fmd_000027,0,fabric,,,4
fmd_000028,0,fabric,,,2
fmd_000029,0,fabric,,,2
fmd_000030,0,fabric,,,0
fmd_000031,0,fabric,,,2
fmd_000032,0,fabric,,,3
fmd_000033,0,fabric,,,4
fmd_000034,0,fabric,,,3
fmd_000035,0,fabric,,,1
fmd_000036,0,fabric,,,3
fmd_000037,0,fabric,,,4
fmd_000038,0,fabric,,,4
fmd_000039,0,fabric,,,4
fmd_000040,0,fabric,,,4
fmd_000041,0,fabric,,,0
fmd_000042,0,fabric,,,0
fmd_000043,0,fabric,,,3
fmd_000044,0,fabric,,,2
fmd_000045,0,fabric,,,0
fmd_000046,0,fabric,,,0
fmd_000047,0,fabric,,,2
fmd_000048,0,fabric,,,1
fmd_000049,0,fabric,,,3
fmd_000050,0,fabric,,,2
fmd_000051,0,fabric,,,1
fmd_000052,0,fabric,,,3
fmd_000053,0,fabric,,,3
fmd_000054,0,fabric,,,3
fmd_000055,0,fabric,,,2
fmd_000056,0,fabric,,,1
fmd_000057,0,fabric,,,3
fmd_000058,0,fabric,,,1
fmd_000059,0,fabric,,,1
fmd_000060,0,fabric,,,0
fmd_000061,0,fabric,,,2
fmd_000062,0,fabric,,,1
fmd_000063,0,fabric,,,0
fmd_000064,0,fabric,,,1
fmd_000065,0,fabric,,,1
fmd_000066,0,fabric,,,0
fmd_000067,0,fabric,,,3
fmd_000068,0,fabric,,,2
fmd_000069,0,fabric,,,4
fmd_000070,0,fabric,,,4
fmd_000071,0,fabric,,,4
fmd_000072,0,fabric,,,2
fmd_000073,0,fabric,,,3
fmd_000074,0,fabric,,,0
fmd_000075,0,fabric,,,3
fmd_000076,0,fabric,,,3
fmd_000077,0,fabric,,,1
fmd_000078,0,fabric,,,1
fmd_000079,0,fabric,,,2
fmd_000080,0,fabric,,,1
fmd_000081,0,fabric,,,1
fmd_000082,0,fabric,,,4
fmd_000083,0,fabric,,,0
fmd_000084,0,fabric,,,1
fmd_000085,0,fabric,,,4
fmd_000086,0,fabric,,,2
