image_id,filepath,class_name,group_id,source_id,scale,pose,illumination,image_condition,dataset,class_id,decode_ok,sha256,phash
fmd_000000,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_001_new.jpg,fabric,,,,,,,fmd,0,True,db937153248855736be2d50cedc4e60c486d848e5f38f0d1ffc6a881e15383a1,8d22bc4d765e586c
fmd_000001,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_002_new.jpg,fabric,,,,,,,fmd,0,True,87c2433dff6b485802c64a1093c98d08483b65ab1e63ca6f4a15880a0e1a5343,9f33ae924ea1d03c
fmd_000002,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_003_new.jpg,fabric,,,,,,,fmd,0,True,2972ae3f49abd8d30b71f264f3f259d41309a3b4dd05e5326ece977792877145,b65562ea694bc949
fmd_000003,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_004_new.jpg,fabric,,,,,,,fmd,0,True,e80109d2e934522b41ee20e111accb461c5eebe5d5b9e6e1490deface1b5cf5c,c0cdb9f316325a96
fmd_000004,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_005_new.jpg,fabric,,,,,,,fmd,0,True,925410c7dbeef09c9732e028cdc802a403b5433bbafdfb117e92806197bc0103,952ec036d0d46fd3
fmd_000005,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_006_new.jpg,fabric,,,,,,,fmd,0,True,f62936221d0055934773dbbada0d7800a3eecd2ac5cdd50b7c01e69e48a4c345,e1e0140eab973e57
fmd_000006,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_007_new.jpg,fabric,,,,,,,fmd,0,True,15348de9a9ddfb2e82f6c8c94a8e2f06a17a2d4292084dd2ce5d1bc65ccfc8dd,e12a9661f45e275a
fmd_000007,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_008_new.jpg,fabric,,,,,,,fmd,0,True,4e131646c816df52472678fc4a6c03fc328ab52fa9b3213c7f99bc9ea29a1449,9cdaa5d634b3c413
fmd_000008,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_009_new.jpg,fabric,,,,,,,fmd,0,True,bdf13698737e2a989ee07d2926d0317791c729e7e41cb26d57a8b36d759cebfb,b1a67cdb8e8721c4
fmd_000009,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_010_new.jpg,fabric,,,,,,,fmd,0,True,34fb2fdc69646b77d6802ffa7244abd11d2f6f162d2b58ec5bd69b477617e44b,abd8e40a3ead3712
fmd_000010,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_011_new.jpg,fabric,,,,,,,fmd,0,True,45d603d1ec869bc4c24061fd5d3ee488f4fb7377990715182cf40e379bc84800,d32fac8c541b1ba9
fmd_000011,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_012_new.jpg,fabric,,,,,,,fmd,0,True,741eb184bef9a78cfd0d9c8e5e13a5438b40b565c18ae9b6ca5c49f546f04e5e,f8d8e6c3121cfce0
fmd_000012,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_013_new.jpg,fabric,,,,,,,fmd,0,True,4b34f63f4408ee70f792a5b13489ef0b8bc9f48246c81c1a91cae59e54bcb024,a4277be38e1c72c2
fmd_000013,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_014_new.jpg,fabric,,,,,,,fmd,0,True,36e1bb3d1280fca8c313fe2f464fb654d0c64f06a0fb75f57f618571cc59b480,a4b8c3989e0f38ed
fmd_000014,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_015_new.jpg,fabric,,,,,,,fmd,0,True,25f09dac4de8d573cef2d0b91f55683de39f4682997ac8e54c0f3b3fbf69be0c,fdd68d542ab50aa2
fmd_000015,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_016_new.jpg,fabric,,,,,,,fmd,0,True,ec2ccaa61eb1c003d84b12b6db31d6225a6d3770ff2b09592f8e1d067754c366,84d863345be6da69
fmd_000016,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_017_new.jpg,fabric,,,,,,,fmd,0,True,d41f2c7994c68c13f6075ec2d0377a71ac3815c7bb826c0c1eb9005226c52930,e5ba59706a636165
fmd_000017,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_018_new.jpg,fabric,,,,,,,fmd,0,True,3a3c972fba1bb313816ee776c571dce1af1601feb5b9ebcc61a1817adc475811,dd9742861fb6212d
fmd_000018,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_019_new.jpg,fabric,,,,,,,fmd,0,True,6ef09efd985f1c11b0daba9bf2e25ee74a7a80b9c41d2937954fab8a03e4090e,98cbabada8b35252
fmd_000019,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_020_new.jpg,fabric,,,,,,,fmd,0,True,fe5911bfe1e42e29cd92725eba6be041d355c0deac96a0b8370c878412c41ac8,f8818e839f87d866
fmd_000020,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_021_new.jpg,fabric,,,,,,,fmd,0,True,712cda8ab8676c65c73971c74732ececdae78be2b0074c39d1a28a1be322fe78,f6ac432d9314edc8
fmd_000021,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_022_new.jpg,fabric,,,,,,,fmd,0,True,dcbb3643a8239338c575bc524310fac1b20cea0a6bfd4b89b5f500f973b1bc0c,e1bc760905d7ec91
fmd_000022,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_023_new.jpg,fabric,,,,,,,fmd,0,True,e08be71b12d8a7fed504cdaa25d40fda0ec42f581a24143720853170b5e54340,d0e4e4cf972c19d2
fmd_000023,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_024_new.jpg,fabric,,,,,,,fmd,0,True,1e0d93f3e8c7ecebda1d96bb8ba61742f3e15ffdf1c461914be97fb79e16d7ff,94b6f885d9326ae4
fmd_000024,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_025_new.jpg,fabric,,,,,,,fmd,0,True,ad497be8852e1ed5cdbd028eefc9d51701819d83bdfa1e3b48b072b9b43286cd,fafa20c5174c9875
fmd_000025,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_026_new.jpg,fabric,,,,,,,fmd,0,True,40c936c0392f9be5b993206c571402d20a422d0cc1fbbddbcd0f204ab4b1f2e4,e2fac5ea1c526351
fmd_000026,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_027_new.jpg,fabric,,,,,,,fmd,0,True,d55693391d197e3d86834c0167b10857d20eda8c5ecb3d9afce367c0f943c6e7,9d755780762ad827
fmd_000027,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_028_new.jpg,fabric,,,,,,,fmd,0,True,94fb59ac1237c9cdde0e7adc2e1207faa94cc509500bdf91f4109ef92a041b32,91de478c4a4657ea
fmd_000028,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_029_new.jpg,fabric,,,,,,,fmd,0,True,1d186fc00fdedd4928272573c2d952ceed0a032f3d8faac1871047c91239d051,e980fa96949f604f
fmd_000029,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_030_new.jpg,fabric,,,,,,,fmd,0,True,848c5e3b72918db4b6a2f8d2bf8a1f7754ff47a9f56167826fc670f100745118,c8edcc3c12c6a697
fmd_000030,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_031_new.jpg,fabric,,,,,,,fmd,0,True,2bd4bc6991d38dceb90199ef37b9703ead1957dc61b7163c9d0ceed57bbd8c95,a5ffdb49f0c08027
fmd_000031,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_032_new.jpg,fabric,,,,,,,fmd,0,True,e54dd721af14363ca3376ec5991785c97e1d5b0780165c377239f6c194b814de,9d43c28d199736f4
fmd_000032,/content/cossdf_work/datasets/fmd/image/fabric/fabric_moderate_033_new.jpg,fabric,,,,,,,fmd,0,True,847d659ff6908d50fc8e61ac6ac1afa579716a083af217575fd68f2ee1dee85a,e3a5da07584e207f
