image_id,class_id,class_name,group_id,source_id,outer_fold
kth_tips2b_000000,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000001,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000002,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000003,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000004,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000005,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000006,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000007,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000008,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000009,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000010,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000011,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000012,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000013,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000014,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000015,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000016,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000017,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000018,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000019,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000020,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000021,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000022,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000023,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000024,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000025,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000026,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000027,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000028,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000029,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000030,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000031,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000032,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000033,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000034,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000035,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000036,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000037,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000038,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000039,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000040,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000041,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000042,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000043,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000044,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000045,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000046,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000047,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000048,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000049,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000050,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000051,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000052,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000053,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000054,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000055,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000056,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000057,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000058,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000059,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000060,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000061,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000062,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000063,0,aluminium_foil,aluminium_foil::a,a,0
kth_tips2b_000064,0,aluminium_foil,aluminium_foil::a,a,0
