image_id,filepath,class_name,group_id,source_id,scale,pose,illumination,image_condition,dataset,class_id,decode_ok,sha256,phash
kth_tips2b_000000,/content/cossdf_work/datasets/kth_tips2b/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_10_im_10_col.png,aluminium_foil,aluminium_foil::a,a,10,frontal,ambient,10,kth_tips2b,0,True,730fa8e132bc59ef5754ae58d9fa9b8e48f143308c145fba89334a549948fc93,a8de705b58f33126
kth_tips2b_000001,/content/cossdf_work/datasets/kth_tips2b/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_10_im_11_col.png,aluminium_foil,aluminium_foil::a,a,10,left_22.5,ambient,11,kth_tips2b,0,True,7b6f4ca61f1d46ef763c8393e79b3cb95b53331b065cac165fa8b62b00c7407a,d34113ef35eea430
kth_tips2b_000002,/content/cossdf_work/datasets/kth_tips2b/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_10_im_12_col.png,aluminium_foil,aluminium_foil::a,a,10,right_22.5,ambient,12,kth_tips2b,0,True,281b09c4791b9c7e1d0e83a577924b4e6efcc6122c2f9444ce7b2a5ae0be8918,fb1d3d08c95232a7
kth_tips2b_000003,/content/cossdf_work/datasets/kth_tips2b/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_10_im_1_col.png,aluminium_foil,aluminium_foil::a,a,10,frontal,frontal,1,kth_tips2b,0,True,46914afab5d4d371ccf5dd6eb8ace39704d98c18fec061119b1b89522026c8dd,c46699e5c2b27366
kth_tips2b_000004,/content/cossdf_work/datasets/kth_tips2b/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_10_im_2_col.png,aluminium_foil,aluminium_foil::a,a,10,frontal,top_45,2,kth_tips2b,0,True,9218cfe7265ccdb9a73fbafd5b1a5a871401d72efee1130735236969e8022b78,fd9e0680552c3d9e
kth_tips2b_000005,/content/cossdf_work/datasets/kth_tips2b/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_10_im_3_col.png,aluminium_foil,aluminium_foil::a,a,10,frontal,side_45,3,kth_tips2b,0,True,0242683e976df4e66bfb22ce8996bd5e9a7cc83d19396fd035730eaeb0287e5f,c3a25a472f31e7c8
kth_tips2b_000006,/content/cossdf_work/datasets/kth_tips2b/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_10_im_4_col.png,aluminium_foil,aluminium_foil::a,a,10,left_22.5,frontal,4,kth_tips2b,0,True,8425a1287f1cc09016f02940e19bb0d1c37caf6c0498fcc54160a64991111344,d1aaa4e0283af5e7
kth_tips2b_000007,/content/cossdf_work/datasets/kth_tips2b/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_10_im_5_col.png,aluminium_foil,aluminium_foil::a,a,10,left_22.5,top_45,5,kth_tips2b,0,True,4f00720b049acc07d8db2279df9c4aa0b564f36b91bd38ce6998ddd74792d0ae,dc98b312d68d7153
kth_tips2b_000008,/content/cossdf_work/datasets/kth_tips2b/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_10_im_6_col.png,aluminium_foil,aluminium_foil::a,a,10,left_22.5,side_45,6,kth_tips2b,0,True,e2111b815113df12e2eac76a41ea194b358abdeb0244b7eb0fc75bcdf8e89a90,d7c987accc21a9f0
kth_tips2b_000009,/content/cossdf_work/datasets/kth_tips2b/KTH-TIPS2-b/aluminium_foil/sample_a/15a-scale_10_im_7_col.png,aluminium_foil,aluminium_foil::a,a,10,right_22.5,frontal,7,kth_tips2b,0,True,28fc3dc7cccaa9ec51d23d0521ac29e52da3f0cdb1d641dd2fd5ac01e157b05a,9b8a6ce8508d63f5
