image_id_1,image_id_2,hamming,class_1,class_2,group_1,group_2
kth_tips2b_001335,kth_tips2b_001337,2,cork,cork,cork::a,cork::a
kth_tips2b_003687,kth_tips2b_003688,4,white_bread,white_bread,white_bread::c,white_bread::c
kth_tips2b_000544,kth_tips2b_000545,2,brown_bread,brown_bread,brown_bread::b,brown_bread::b
kth_tips2b_000513,kth_tips2b_000515,4,brown_bread,brown_bread,brown_bread::a,brown_bread::a
kth_tips2b_000834,kth_tips2b_000835,2,brown_bread,brown_bread,brown_bread::d,brown_bread::d
kth_tips2b_004500,kth_tips2b_004505,4,wool,wool,wool::b,wool::b
kth_tips2b_003915,kth_tips2b_003916,2,wood,wood,wood::a,wood::a
kth_tips2b_000529,kth_tips2b_000535,2,brown_bread,brown_bread,brown_bread::a,brown_bread::a
kth_tips2b_001525,kth_tips2b_001531,2,cork,cork,cork::c,cork::c
kth_tips2b_000732,kth_tips2b_000736,4,brown_bread,brown_bread,brown_bread::c,brown_bread::c
kth_tips2b_002298,kth_tips2b_002299,2,cracker,cracker,cracker::b,cracker::b
kth_tips2b_001506,kth_tips2b_001507,4,cork,cork,cork::b,cork::b
kth_tips2b_000480,kth_tips2b_000486,4,brown_bread,brown_bread,brown_bread::a,brown_bread::a
kth_tips2b_001509,kth_tips2b_001510,2,cork,cork,cork::b,cork::b
kth_tips2b_002439,kth_tips2b_002440,4,cracker,cracker,cracker::c,cracker::c
kth_tips2b_002475,kth_tips2b_002476,4,cracker,cracker,cracker::c,cracker::c
kth_tips2b_002811,kth_tips2b_002812,4,lettuce_leaf,lettuce_leaf,lettuce_leaf::c,lettuce_leaf::c
kth_tips2b_004657,kth_tips2b_004667,0,wool,wool,wool::d,wool::d
kth_tips2b_000648,kth_tips2b_000652,4,brown_bread,brown_bread,brown_bread::c,brown_bread::c
kth_tips2b_000723,kth_tips2b_000724,4,brown_bread,brown_bread,brown_bread::c,brown_bread::c
kth_tips2b_002418,kth_tips2b_002419,2,cracker,cracker,cracker::c,cracker::c
kth_tips2b_000526,kth_tips2b_000527,2,brown_bread,brown_bread,brown_bread::a,brown_bread::a
kth_tips2b_000798,kth_tips2b_000799,4,brown_bread,brown_bread,brown_bread::d,brown_bread::d
kth_tips2b_003507,kth_tips2b_003508,4,white_bread,white_bread,white_bread::a,white_bread::a
kth_tips2b_000852,kth_tips2b_000858,4,brown_bread,brown_bread,brown_bread::d,brown_bread::d
kth_tips2b_000471,kth_tips2b_000472,4,brown_bread,brown_bread,brown_bread::a,brown_bread::a
kth_tips2b_000537,kth_tips2b_000538,4,brown_bread,brown_bread,brown_bread::a,brown_bread::a
kth_tips2b_004492,kth_tips2b_004493,4,wool,wool,wool::b,wool::b
kth_tips2b_003147,kth_tips2b_003148,2,linen,linen,linen::b,linen::b
kth_tips2b_002578,kth_tips2b_002590,4,cracker,cracker,cracker::d,cracker::d
kth_tips2b_000705,kth_tips2b_000717,4,brown_bread,brown_bread,brown_bread::c,brown_bread::c
kth_tips2b_002325,kth_tips2b_002326,4,cracker,cracker,cracker::b,cracker::b
kth_tips2b_001527,kth_tips2b_001528,2,cork,cork,cork::c,cork::c
kth_tips2b_000633,kth_tips2b_000634,4,brown_bread,brown_bread,brown_bread::b,brown_bread::b
kth_tips2b_002715,kth_tips2b_002716,4,lettuce_leaf,lettuce_leaf,lettuce_leaf::b,lettuce_leaf::b
kth_tips2b_001866,kth_tips2b_001867,4,cotton,cotton,cotton::b,cotton::b
kth_tips2b_000639,kth_tips2b_000640,4,brown_bread,brown_bread,brown_bread::b,brown_bread::b
kth_tips2b_004542,kth_tips2b_004543,4,wool,wool,wool::c,wool::c
