image_id,class_id,class_name,group_id,source_id,outer_fold
kylberg_000000,0,blanket1,blanket1::a,a,0
kylberg_000001,0,blanket1,blanket1::a,a,0
kylberg_000002,0,blanket1,blanket1::a,a,0
kylberg_000003,0,blanket1,blanket1::a,a,0
kylberg_000004,0,blanket1,blanket1::a,a,0
kylberg_000005,0,blanket1,blanket1::a,a,0
kylberg_000006,0,blanket1,blanket1::a,a,0
kylberg_000007,0,blanket1,blanket1::a,a,0
kylberg_000008,0,blanket1,blanket1::a,a,0
kylberg_000009,0,blanket1,blanket1::a,a,0
kylberg_000010,0,blanket1,blanket1::a,a,0
kylberg_000011,0,blanket1,blanket1::a,a,0
kylberg_000012,0,blanket1,blanket1::a,a,0
kylberg_000013,0,blanket1,blanket1::a,a,0
kylberg_000014,0,blanket1,blanket1::a,a,0
kylberg_000015,0,blanket1,blanket1::a,a,0
kylberg_000016,0,blanket1,blanket1::a,a,0
kylberg_000017,0,blanket1,blanket1::a,a,0
kylberg_000018,0,blanket1,blanket1::a,a,0
kylberg_000019,0,blanket1,blanket1::a,a,0
kylberg_000020,0,blanket1,blanket1::a,a,0
kylberg_000021,0,blanket1,blanket1::a,a,0
kylberg_000022,0,blanket1,blanket1::a,a,0
kylberg_000023,0,blanket1,blanket1::a,a,0
kylberg_000024,0,blanket1,blanket1::a,a,0
kylberg_000025,0,blanket1,blanket1::a,a,0
kylberg_000026,0,blanket1,blanket1::a,a,0
kylberg_000027,0,blanket1,blanket1::a,a,0
kylberg_000028,0,blanket1,blanket1::a,a,0
kylberg_000029,0,blanket1,blanket1::a,a,0
kylberg_000030,0,blanket1,blanket1::a,a,0
kylberg_000031,0,blanket1,blanket1::a,a,0
kylberg_000032,0,blanket1,blanket1::a,a,0
kylberg_000033,0,blanket1,blanket1::a,a,0
kylberg_000034,0,blanket1,blanket1::a,a,0
kylberg_000035,0,blanket1,blanket1::a,a,0
kylberg_000036,0,blanket1,blanket1::a,a,0
kylberg_000037,0,blanket1,blanket1::a,a,0
kylberg_000038,0,blanket1,blanket1::a,a,0
kylberg_000039,0,blanket1,blanket1::a,a,0
kylberg_000040,0,blanket1,blanket1::b,b,1
kylberg_000041,0,blanket1,blanket1::b,b,1
kylberg_000042,0,blanket1,blanket1::b,b,1
kylberg_000043,0,blanket1,blanket1::b,b,1
kylberg_000044,0,blanket1,blanket1::b,b,1
kylberg_000045,0,blanket1,blanket1::b,b,1
kylberg_000046,0,blanket1,blanket1::b,b,1
kylberg_000047,0,blanket1,blanket1::b,b,1
kylberg_000048,0,blanket1,blanket1::b,b,1
kylberg_000049,0,blanket1,blanket1::b,b,1
kylberg_000050,0,blanket1,blanket1::b,b,1
kylberg_000051,0,blanket1,blanket1::b,b,1
kylberg_000052,0,blanket1,blanket1::b,b,1
kylberg_000053,0,blanket1,blanket1::b,b,1
kylberg_000054,0,blanket1,blanket1::b,b,1
