image_id,filepath,class_name,group_id,source_id,scale,pose,illumination,image_condition,dataset,class_id,decode_ok,sha256,phash
kylberg_000000,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p001.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,e06a16a8478e6cd4cb335a3c307adf537a1c3dde9c28f6b00020944b68bec287,bc45521870f79bf0
kylberg_000001,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p002.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,4e197fd789b7a2416722b0d2416cc390069653c6e91716f468b3506fb0d74be9,96276bce7c4012db
kylberg_000002,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p003.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,f9bb37e802fda3abdaa7b4afd9d790e6139cbdb8fbfc5facfc80a40796ce62fe,a1190af16ac57c7e
kylberg_000003,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p004.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,a30ccea883a4f7e260b828f09d69c631295aaee690af65d78f865cdbb73dc566,c6c976f9a38a3431
kylberg_000004,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p005.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,afa0cd0adffd0d6822c4738f2a7eb98f28c48dc5f459980836f2bb52c2be080c,8b18c6227d363e3e
kylberg_000005,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p006.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,bcd8b22829d42d4bf0abce109407d36736cbb0888492afd7481e6ab5650c126d,c616df4993cc30ab
kylberg_000006,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p007.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,f7b50faecdda8dd28f37ef75570cdd82912201681283fc5615023bd7bd545fa5,d83d820ad95d17d6
kylberg_000007,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p008.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,746f8d27c9e535a85be9a598684be4f50d1de7ecf951fee2e9012c3c3a90e0d5,baac4efca52c0ccc
kylberg_000008,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p009.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,8e6d8287f05860ee8e9bcb9b4b56aa12ecacb0b95a17edf3edf7c2baa7beba64,b947016bd373c9d0
kylberg_000009,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p010.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,5a83e3e7b7aabe2583510fe458f2bc09b1ed09426a7a17410a44acb2d0626b63,966b633878e33385
kylberg_000010,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p011.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,d717b65b5de1d6a5aad17b8d1ca146a3375f4c315f4bd7704cf9fe4a76469f71,bf343f7ca0608d26
kylberg_000011,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p012.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,b6afe4a0f89d6ad90bcbf95045aa0bd73d643b72bc7ebcfd92f41f6e5e6d7972,d061598ccb6eba35
kylberg_000012,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p013.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,819e8c2980acfdb921b6d6434fa52495ecfe3af0fac1a7583df51e6a894705c8,d3a390b5c332d636
kylberg_000013,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p014.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,e6b570f0c7af03614edc6deed84968580681cb76d002b5c03e9ffb82c0d387dd,94e2bd4c25e987e8
kylberg_000014,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p015.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,755821a2e107afbb142cd7f8bfaa20b0c13dc9712e366be54afe440515099720,fcc0ede0b230fa15
kylberg_000015,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p016.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,a5f818d070496ad2acc6c6c3d7d805b678c7af2e1abc688270103686f7c9865e,c246bcf571a53833
kylberg_000016,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p017.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,a387423a4dc272166e32ee0606700799917fb84fe31093a0f96c0db1d7ee1c2b,89b4290ee36dd16d
kylberg_000017,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p018.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,68aa594e59f2de57a781ee2ef6e726abe5cf4b737b85ccd94111a0a9302b60aa,96fbef81441025e7
kylberg_000018,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p019.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,008ec45379a19c93c75f0a890aa531726cd2f60764c3aefd0f492b64098d743c,ac8bed6d258d05e2
kylberg_000019,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p020.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,4260eafb03cfabd67c3b80b8c5717553b766b248e87bd176530c48c3303e12ca,d0d39bd812dc62dc
kylberg_000020,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p021.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,84d6bcd93b04edf1d91f5a513f594e6cc46cfd98e4199d7cd509a7ce564cabe9,d0d8f706458ed798
kylberg_000021,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p022.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,d041bd98904083cdc5d19760ca355c817a90ba31a4989400908373d2442d0600,80993272746df3e3
kylberg_000022,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p023.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,8a619ebf828241ccae00aac4a5b66de990d1d275f699587ab49e847ce3dfa9f1,f8616786684ec6b6
kylberg_000023,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p024.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,aeaee9abd820d086e7b2c0470f9f0c4aa0b6554684a78d1fc0df4f0ee90c6184,869a5a097747e36c
kylberg_000024,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p025.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,6fed3cb2eaf6a62421a9a773fd0e6d50117fe8990db11bc80cb8fad4df46f75a,b542f64b423bae25
kylberg_000025,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p026.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,2dcd1053ef0f2ea61210d616d32b7eed5b67a68e73ebef4a0715062fdd08120f,ac7cb5cf6400dd1a
kylberg_000026,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p027.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,52cb40b307e96243a274fd683c9daf6454cd13ed72a8e3ef44a0f8d986cb9b88,a455d53512f62a3d
kylberg_000027,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p028.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,fe0dd4d125727fac38c662e783731c62fecb9e822d45e48c799205bb5fd50be3,de3e0b0c1d73ad18
kylberg_000028,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p029.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,9057e63be543194a41839a977d673e38848de259166ae718619c708065938805,9720a302a6e1f9fd
kylberg_000029,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p030.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,43c10133a3cc8ef8541d1da1100dfc9bc13dc0ff02876701a22bffcee0ac5cc9,c00bf9d1bf440d7a
kylberg_000030,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p031.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,bc1392cc43fa4cc836a528ce28181edcc9703742709ec17360dd425b50c5882a,f32fe0108e33a13f
kylberg_000031,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p032.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,d87d349cf52ddd909078d2e918dc24bbc7010cb765aba63942a405a666030d77,d7b5409cda29a9a3
kylberg_000032,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p033.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,f3147488933b4ce01b13185ddf961e1e7d418979c2d28a225c30bcce3fa0aaf6,bf24eb1658245eb1
kylberg_000033,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p034.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,08519f9310df1302510142365f9d9b45f35cf904d5590d9d891b852b39b41490,9b6d14032f9531f9
kylberg_000034,/content/cossdf_work/datasets/kylberg/KylbergTextureDatasetV1_nonrotated/blanket1/blanket1-a-p035.png,blanket1,blanket1::a,a,,,,,kylberg,0,True,63bc4317540e04f633dda3b743b9b0b390c51757598d43d4310393c0e98e2ebd,9c05f5962e8966ae
