dataset,comparison,delta_macro_f1,delta_nll,delta_macro_f1_ci,delta_nll_ci
kth_tips2b,DIR_MATCHED_minus_B5,0.113342146951493,0.0255627299958605,"[0.07215747827493754, 0.15430045746869012]","[-0.13713036831164002, 0.19174802003707744]"
kth_tips2b,DIR_TUNED_minus_B5,0.0598200062722437,-0.0516657321006044,"[0.015886301193908683, 0.10372657830572525]","[-0.17861800455591806, 0.06455732736067803]"
kth_tips2b,C3_LINEAR_FUSION_minus_C3S,-1.2759326746270006e-06,0.0016851266996083,"[-1.1783736375711729e-05, 7.5916235700579345e-06]","[0.0009404456093140626, 0.0024613735671351967]"
kth_tips2b,C3_LOGOP_FUSION_minus_C3S,-0.0001968452341795,0.0008225331315775,"[-0.0028258604645650886, 0.002836751750013514]","[-0.006781745243442566, 0.007872057912550022]"
kth_tips2b,LR_ILR_GEOM_minus_LR_LINEAR_GEOM,0.0890198975535949,-0.2650278656431282,"[0.05871090096935205, 0.1162061396871041]","[-0.3839946793688082, -0.15162955938529601]"
fmd,DIR_MATCHED_minus_B5,0.0124567605196394,0.0299308262239481,"[-0.017899922688604283, 0.043278128209447035]","[-0.028125837790624074, 0.09111277116446492]"
fmd,DIR_TUNED_minus_B5,-0.0328398606728572,-0.0221660831687833,"[-0.06146161033058934, -0.004035440022883602]","[-0.06407631761726627, 0.015732315917441928]"
fmd,C3_LINEAR_FUSION_minus_C3S,0.0,-0.004242666446556,"[0.0, 0.0]","[-0.011902550518061005, 0.0012577804506503057]"
fmd,C3_LOGOP_FUSION_minus_C3S,-0.0029406592652231,-0.0109311915170212,"[-0.007537433228308327, 0.0011344359022485678]","[-0.019101226218341337, -0.0028331311169100737]"
fmd,LR_ILR_GEOM_minus_LR_LINEAR_GEOM,0.0162222253970529,-0.0239616078665925,"[-0.007678672682615035, 0.04054768373093466]","[-0.042657645956472236, -0.006054569683419612]"
kylberg,DIR_MATCHED_minus_B5,0.0318197918531568,0.3087334838309807,"[0.010140129529260642, 0.05410208407210582]","[-0.0832277670104681, 0.9229259562812091]"
kylberg,DIR_TUNED_minus_B5,0.029101944352494,-0.1503062482327426,"[0.0073103697009459095, 0.0513368805633986]","[-0.44740392424720427, 0.056938512786978424]"
kylberg,C3_LINEAR_FUSION_minus_C3S,0.0,0.0001041672776336,"[0.0, 0.0]","[5.902661049767941e-05, 0.00015441887491514462]"
kylberg,C3_LOGOP_FUSION_minus_C3S,0.000895724263411,-0.0027049020937938,"[6.91052528090097e-07, 0.0018074735211664776]","[-0.005740983499753255, -7.641150615326147e-05]"
kylberg,LR_ILR_GEOM_minus_LR_LINEAR_GEOM,0.0235708030080431,-0.1935851888305583,"[0.006500906691086522, 0.04192119000869144]","[-0.3887357817477293, 0.01160578065981719]"
