dataset,method,accuracy,balanced_accuracy,macro_f1,nll,brier,ece
kth_tips2b,DIR_MATCHED,0.5237794612794613,0.5237794612794613,0.512777205174203,2.0037514848423146,0.662659604135337,0.1365419482464303
kth_tips2b,DIR_TUNED,0.4722222222222222,0.4722222222222221,0.4592550644949536,1.9265230227458496,0.7342123842728739,0.1787553931181707
kth_tips2b,C3S,0.8545875420875421,0.8545875420875422,0.8500046227072352,0.4667074071760577,0.2100441262763569,0.0205518545018777
kth_tips2b,C3F,0.4448653198653198,0.4448653198653198,0.4362669109064762,1.8056071257531696,0.7417532129000736,0.1113536853157954
kth_tips2b,C3_LINEAR_FUSION,0.8545875420875421,0.8545875420875422,0.8500033467745606,0.4683925338756661,0.2101241788091333,0.0220505477484383
kth_tips2b,C3_LOGOP_FUSION,0.8541666666666666,0.8541666666666667,0.8498077774730557,0.4675299403076353,0.2107917537419377,0.0213354351614136
kth_tips2b,LR_LINEAR_GEOM,0.3434343434343434,0.3434343434343435,0.3395538085132955,2.100061255240911,0.8178356609985808,0.1021388693157562
kth_tips2b,LR_ILR_GEOM,0.4396043771043771,0.4396043771043771,0.4285737060668904,1.8350333895977824,0.7514900969179774,0.1213328352855688
fmd,DIR_MATCHED,0.293,0.293,0.2539171441714524,2.1624355748456985,0.856964391343771,0.0815130131840079
fmd,DIR_TUNED,0.261,0.261,0.2086205229789556,2.110338665452967,0.8527941674796483,0.072556720260094
fmd,C3S,0.787,0.7870000000000001,0.7871042177251173,0.6817813472777168,0.319305315015963,0.0459299557513498
fmd,C3F,0.222,0.2219999999999999,0.2022005021005063,2.095736534057256,0.8549194036610746,0.0326987373084286
fmd,C3_LINEAR_FUSION,0.787,0.7870000000000001,0.7871042177251173,0.6775386808311608,0.3189384325125974,0.0454034284470826
fmd,C3_LOGOP_FUSION,0.784,0.784,0.7841635584598942,0.6708501557606955,0.3175672147724348,0.0343535452256799
fmd,LR_LINEAR_GEOM,0.232,0.2319999999999999,0.2022013037172852,2.1118596650767816,0.8564250387448026,0.0434359846049746
fmd,LR_ILR_GEOM,0.239,0.2389999999999999,0.2184235291143382,2.087898057210189,0.8512714832904664,0.0407453698962338
kylberg,DIR_MATCHED,0.8366071428571429,0.8366071428571428,0.8385327268542776,1.3058297713176796,0.2494572550685069,0.0573466703498273
kylberg,DIR_TUNED,0.8337053571428571,0.8337053571428571,0.8358148793536148,0.8467900392539562,0.2880652861054313,0.1337788567716037
kylberg,C3S,0.9964285714285714,0.9964285714285712,0.9964296436843004,0.0121480980540759,0.0058398570837063,0.0005723115199443
kylberg,C3F,0.8299107142857143,0.8299107142857143,0.8292526341944478,0.6023144414422907,0.2498651943514722,0.0334455772443783
kylberg,C3_LINEAR_FUSION,0.9964285714285714,0.9964285714285712,0.9964296436843004,0.0122522653317096,0.0058402591224418,0.0006546905214557
kylberg,C3_LOGOP_FUSION,0.9973214285714286,0.9973214285714286,0.9973253679477116,0.009443195960282,0.0047234775459195,0.0005002177475602
kylberg,LR_LINEAR_GEOM,0.7941964285714286,0.7941964285714286,0.7921587390223246,0.8453871322048907,0.3106460618161468,0.058479187022077
kylberg,LR_ILR_GEOM,0.8171875,0.8171875000000001,0.8157295420303677,0.6518019433743324,0.2667810988442344,0.0348673375182634
