outer_fold,directional_R,directional_h_matched,directional_h_tuned,C3s_C,C3f_R,C3f_C,C3_linear_lambda,C3_linear_inner_nll,C3_logop_lambda,C3_logop_inner_nll,matched_geometry_R,matched_geometry_C,matched_geometry_linear_inner_nll,matched_geometry_ilr_inner_nll,matched_geometry_symmetric_score,directional_sectors,dataset
0,6,1.0,1.5,0.01,6,0.1,0.9913291578902742,0.7153617930626298,0.9021868333002234,0.7095638413506288,6,0.01,2.2592318726196523,1.975535154482667,2.11738351355116,2,kth_tips2b
1,6,0.75,1.0,0.01,6,0.1,1.0,0.4982675428503165,0.9301022910021312,0.4950982805855008,6,0.1,2.147199161596188,1.8504714175130303,1.9988352895546089,2,kth_tips2b
2,6,0.75,1.0,0.01,6,0.1,1.0,0.5639230092105543,0.9803592936803932,0.5636871107843563,6,0.1,2.1317139073842704,1.843169892451227,1.9874418999177488,2,kth_tips2b
3,6,1.0,1.5,0.01,6,0.1,0.9966363663731512,0.5070216778806822,0.9623395313075704,0.5064395842656069,6,0.1,2.1574204917572075,1.8923835129729316,2.024902002365069,2,kth_tips2b
0,4,0.75,1.0,0.1,4,1.0,0.99357002365156,0.7106849976717288,0.8697236205521893,0.7019772225940752,6,0.1,2.1440731521558587,2.1043293104836183,2.1242012313197387,2,fmd
1,4,0.75,1.0,0.1,4,1.0,0.9961481175124168,0.7047910599265699,0.8768258490984845,0.6970897781576769,6,0.1,2.1494089867394783,2.103408965186802,2.12640897596314,2,fmd
2,4,0.75,1.0,0.1,4,1.0,0.9913918681986126,0.7480943778481125,0.8547850246377322,0.7375281508490528,4,1.0,2.149312022301312,2.104118421120448,2.12671522171088,2,fmd
3,4,0.75,1.0,0.1,6,0.1,0.9886053181168354,0.7009179394794294,0.8847479073404527,0.6970273258032101,6,0.1,2.108935064244722,2.093686789299237,2.10131092677198,2,fmd
4,6,1.0,1.5,0.1,6,0.1,0.9966825616826964,0.6649048159279346,0.9267010988316224,0.6628726853400334,8,0.1,2.130528861013626,2.120788309003836,2.125658585008731,2,fmd
0,8,0.5,0.5,10.0,6,10.0,1.0,0.0199466147328538,0.7666334591375348,0.0150681490159298,6,10.0,0.8028690839778844,0.7444021466715675,0.7736356153247259,2,kylberg
1,6,0.25,0.5,100.0,8,10.0,1.0,0.0151216351755266,0.8371439378754764,0.0118825075812387,8,10.0,0.9434802767381952,0.5927906662403419,0.7681354714892685,2,kylberg
2,8,0.5,0.75,100.0,8,10.0,0.9984018441627748,0.0378000311326552,0.7721098839490805,0.0168852199276118,6,10.0,1.017452874635742,0.7454101849658821,0.881431529800812,2,kylberg
3,8,0.5,0.75,100.0,8,10.0,1.0,0.0128776491629703,0.8797099526462242,0.0105541618659347,8,10.0,1.0173002633681762,0.7240732971758292,0.8706867802720027,2,kylberg
