outer_fold,B4W_R,B4W_h,C3_C,C3_inner_nll,dataset
0,6,1.0,0.01,0.7160082735803461,kth_tips2b
1,6,0.75,0.01,0.4982675428503165,kth_tips2b
2,6,0.75,0.01,0.5639230092105543,kth_tips2b
3,6,1.0,0.01,0.5072778153926172,kth_tips2b
0,4,0.75,0.1,0.7112602663671086,fmd
1,4,0.75,0.1,0.7050416598667639,fmd
2,4,0.75,0.1,0.7489246342276928,fmd
3,4,0.75,0.1,0.7035683474091468,fmd
4,6,1.0,0.1,0.665338918456499,fmd
0,8,0.5,10.0,0.0199466147328538,kylberg
1,6,0.25,100.0,0.0151216351755266,kylberg
2,8,0.5,100.0,0.0378882702512564,kylberg
3,8,0.5,100.0,0.0128776491629703,kylberg
