method,dataset,accuracy,balanced_accuracy,macro_f1,nll,brier,ece
C1,kth_tips2b,0.6306818181818182,0.6306818181818182,0.6224064876175761,,,
C2,kth_tips2b,0.8394360269360269,0.8394360269360269,0.8326369117392732,,,
B1,kth_tips2b,0.8087121212121212,0.8087121212121212,0.8026657560065611,0.5910345187687206,0.2855212771754284,0.052511760924309
B1G,kth_tips2b,0.8097643097643098,0.8097643097643097,0.7997929964575953,5.258195588129612,0.3547590841300591,0.169277985110701
B2,kth_tips2b,0.3390151515151515,0.3390151515151515,0.2948572291625417,2.716378313506995,0.8268132042155206,0.1185880235398839
B3,kth_tips2b,0.3360690235690236,0.3360690235690236,0.2822674834039398,2.4869517764404017,0.8544145736684438,0.1716209475934733
B4,kth_tips2b,0.29503367003367,0.29503367003367,0.2394709511306454,2.1472249363316527,0.8501585312582969,0.121717067964641
B5,kth_tips2b,0.4366582491582491,0.4366582491582491,0.3994350582227099,1.9781887548464527,0.7702349971793252,0.172811118482332
B5G,kth_tips2b,0.498526936026936,0.498526936026936,0.4841950705744336,3.678478361242719,0.7210382106228261,0.1943767300932245
F1_linear_fixed,kth_tips2b,0.7914562289562289,0.791456228956229,0.7831360137166427,0.9411593112784726,0.4086007365249216,0.2883958069103529
F2_linear_opt,kth_tips2b,0.8085016835016835,0.8085016835016835,0.8025927441319882,0.5943424088810201,0.2851861815851625,0.0599304854922582
F3_logop_fixed,kth_tips2b,0.7910353535353535,0.7910353535353536,0.7805454132714178,0.7820988079659961,0.3325525464047237,0.1456026607339997
F4_logop_opt_controlled,kth_tips2b,0.8101851851851852,0.8101851851851852,0.8042989942369183,0.5983246796761582,0.2837106151803232,0.0661142232212109
CoSS_DF,kth_tips2b,0.813973063973064,0.813973063973064,0.8066436056453582,0.5933448769198679,0.2745589123723136,0.0600902705812172
C1,fmd,0.355,0.355,0.3428937775221214,,,
C2,fmd,0.757,0.7569999999999999,0.7565212626024868,,,
B1,fmd,0.669,0.669,0.6624306426787311,0.9932112789707976,0.4575896398602401,0.0895415942646074
B1G,fmd,0.695,0.6950000000000001,0.6950915369538577,1.4011547153938482,0.4659239487911971,0.1483135240693192
B2,fmd,0.248,0.248,0.2197214098750642,2.499913493016677,0.8839014442769352,0.0896115505485511
B3,fmd,0.208,0.208,0.1634964406335652,2.200339668796816,0.8787938184650099,0.0583163899659285
B4,fmd,0.213,0.213,0.1866049039409432,2.150273603245649,0.864975874541972,0.0522308926117041
B5,fmd,0.262,0.262,0.2414603836518129,2.1325047486217503,0.8614487731049328,0.0931627542544385
B5G,fmd,0.254,0.254,0.2235743477371016,2.167727358819471,0.8552441929120543,0.0686369323176533
F1_linear_fixed,fmd,0.662,0.662,0.6548472596707302,1.3151191690853272,0.5767116576096528,0.2984064073633382
F2_linear_opt,fmd,0.669,0.669,0.6624306426787311,0.993268955327223,0.4576020273917393,0.0896275684942984
F3_logop_fixed,fmd,0.659,0.659,0.6519106709124884,1.2352861166431162,0.5540431412665994,0.2588044098003357
F4_logop_opt_controlled,fmd,0.669,0.669,0.6624306426787311,0.9932112789707976,0.4575896398602401,0.0895415942646073
CoSS_DF,fmd,0.665,0.6649999999999999,0.6583496273460429,0.9926420724216072,0.4584298623100314,0.0839466512096735
C1,kylberg,0.9738839285714286,0.9738839285714286,0.9736937227278284,,,
C2,kylberg,0.9970982142857144,0.9970982142857144,0.9970872315269776,,,
B1,kylberg,0.9772321428571428,0.9772321428571428,0.9774122108057548,0.2306912513372568,0.0675991506870146,0.0691173916664712
B1G,kylberg,0.9912946428571427,0.9912946428571427,0.9912639884655058,0.1501322504384316,0.0158319365816576,0.0060459079905718
B2,kylberg,0.8566964285714286,0.8566964285714286,0.8550218794431907,0.6775128146124185,0.269300690793079,0.1394669665096932
B3,kylberg,0.8587053571428571,0.858705357142857,0.8526527608375825,0.6493506260532982,0.2580029376185858,0.129779913909408
B4,kylberg,0.75625,0.75625,0.7464942344260691,0.9241070275437658,0.3805444216935342,0.1299021165213268
B5,kylberg,0.809375,0.8093750000000001,0.8067129350011207,0.9970962874866988,0.3138591033292556,0.1334440604229901
B5G,kylberg,0.8573660714285715,0.8573660714285715,0.8573142893443169,0.7678419024281592,0.2151230057586341,0.0683348293788242
F1_linear_fixed,kylberg,0.9752232142857142,0.975223214285714,0.9751601851611736,0.311111159731598,0.1287442101765596,0.1977202795590151
F2_linear_opt,kylberg,0.9770089285714286,0.9770089285714284,0.977193547140633,0.1484148057643032,0.0677101912821967,0.0709758232445847
F3_logop_fixed,kylberg,0.965625,0.965625,0.9658386982830288,0.2130078155764233,0.0745768353734606,0.0547744968692343
F4_logop_opt_controlled,kylberg,0.9752232142857142,0.9752232142857142,0.9754005799436362,0.198494540945437,0.0646871194837343,0.057867321687353
CoSS_DF,kylberg,0.9752232142857142,0.9752232142857142,0.9752782197209336,0.1704144707031755,0.051435925739429,0.0344690603601948
